Unnamed: 0,hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,agent,days_in_waiting_list,adr,required_car_parking_spaces,total_of_special_requests,hotel_encoded,meal_BB,meal_FB,meal_HB,meal_SC,meal_Undefined,season,country_BEL,country_BRA,country_CHE,country_CHN,country_CN,country_DEU,country_ESP,country_FRA,country_GBR,country_IRL,country_ITA,country_NLD,country_NOR,country_Other,country_POL,country_PRT,country_RUS,country_SWE,country_USA,market_segment_Complementary,market_segment_Corporate,market_segment_Direct,market_segment_Groups,market_segment_Offline TA/TO,market_segment_Online TA,distribution_channel_Direct,distribution_channel_GDS,distribution_channel_TA/TO,room_type_changed,deposit_type_Non Refund,deposit_type_Refundable,customer_type_Group,customer_type_Transient,customer_type_Transient-Party
10,Resort Hotel,0,0.2572967178756172,2016,December,53,26,1,3,2,0,0,0,0,0,D,D,0,240,-0.12701640452702223,-1.1208519169782634,1,3,1,True,False,False,False,False,Winter,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,0,False,False,False,False,True
11,City Hotel,1,-0.08545261895647754,2017,February,7,17,0,2,2,0,0,0,0,0,A,A,0,9,-0.12701640452702223,-0.4580752497336942,0,0,0,False,False,False,True,False,Winter,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,0,False,False,False,True,False
12,Resort Hotel,0,-0.18185086994050417,2015,December,52,24,2,5,2,0,0,0,0,0,A,A,0,156,-0.12701640452702223,-1.0532161013455184,0,2,1,False,False,True,False,False,Winter,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,0,False,False,False,True,False
13,City Hotel,0,-0.5888657074286167,2016,August,34,15,1,2,2,0,0,0,0,0,A,A,0,28,-0.12701640452702223,-0.531415290781249,0,0,0,True,False,False,False,False,Summer,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,0,False,False,False,True,False
14,City Hotel,1,1.5318958142199697,2015,October,42,17,0,1,2,0,0,0,1,0,A,A,0,1,-0.12701640452702223,-0.979604430516306,0,0,0,True,False,False,False,False,Autumn,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,0,True,False,False,True,False
15,Resort Hotel,0,-0.78166220939667,2017,April,16,20,0,2,2,0,0,0,0,0,A,A,0,0,-0.12701640452702223,-0.04248168379755048,1,0,1,True,False,False,False,False,Spring,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,0,False,False,False,False,True
16,Resort Hotel,0,-0.6638421248606374,2016,December,50,9,0,1,2,0,0,0,0,0,A,D,0,240,-0.12701640452702223,-1.3055601685054383,0,1,1,True,False,False,False,False,Winter,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,1,False,False,False,True,False
17,City Hotel,1,-0.6209984577566255,2016,May,19,6,2,3,2,1,0,0,0,0,A,A,0,9,-0.12701640452702223,1.4563714513891433,0,0,0,False,False,True,False,False,Spring,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,0,False,False,False,True,False
18,City Hotel,0,0.6857333889157357,2017,July,28,15,2,5,2,0,0,0,0,0,A,A,0,7,-0.12701640452702223,-0.4811637811745913,0,1,0,True,False,False,False,False,Summer,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,0,False,False,False,True,False
19,Resort Hotel,0,-0.6852639584126433,2016,October,44,27,2,5,2,0,0,0,0,0,F,F,0,250,-0.12701640452702223,-0.04248168379755048,1,0,1,True,False,False,False,False,Autumn,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,0,False,False,False,True,False
20,Resort Hotel,0,-0.4282019557885723,2016,March,14,29,0,4,2,0,0,0,0,0,A,A,0,240,-0.12701640452702223,-1.033930386847828,1,1,1,True,False,False,False,False,Spring,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,0,False,False,False,True,False
21,City Hotel,1,0.010945632027549107,2015,October,41,5,1,3,1,0,0,0,0,0,A,A,0,29,-0.12701640452702223,1.1934338227445764,0,0,0,True,False,False,False,False,Autumn,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,0,True,False,False,True,False
22,Resort Hotel,0,-0.11758536928448642,2017,April,16,19,1,4,2,0,0,0,0,0,E,E,2,0,-0.12701640452702223,-0.5830249492961951,0,1,1,True,False,False,False,False,Spring,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,0,False,False,False,False,True
23,City Hotel,0,1.9496215684840852,2017,July,30,26,0,4,3,0,0,0,0,0,D,D,0,9,-0.12701640452702223,1.8888060637880586,0,2,0,True,False,False,False,False,Summer,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,0,False,False,False,True,False
24,City Hotel,1,0.8463971405557801,2016,August,33,10,0,4,2,0,0,0,0,0,A,A,0,9,-0.12701640452702223,0.09197505812296669,0,0,0,True,False,False,False,False,Summer,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,0,False,False,False,True,False
25,City Hotel,1,-0.7495294590686611,2017,May,21,22,1,1,2,0,0,0,0,0,A,A,0,3,-0.12701640452702223,0.8674780847554441,0,0,0,True,False,False,False,False,Spring,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,0,True,False,False,True,False
26,City Hotel,1,2.8279167441163278,2015,October,42,12,1,1,2,0,0,0,1,0,A,A,0,1,-0.12701640452702223,-0.9252784741847839,0,0,0,True,False,False,False,False,Autumn,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,0,True,False,False,False,False
28,City Hotel,0,-0.6852639584126433,2016,January,5,24,2,1,2,0,0,0,0,0,A,A,1,38,2.7282198585117303,-0.8709525178532619,0,0,0,True,False,False,False,False,Winter,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0,False,False,False,False,True
30,City Hotel,0,-0.9851696281407263,2015,August,35,25,0,4,2,0,0,0,0,0,A,A,0,1,-0.12701640452702223,-0.9252784741847839,0,0,0,True,False,False,False,False,Summer,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,0,False,False,False,False,True
31,City Hotel,1,0.8892408076597919,2016,July,27,1,0,2,2,0,0,0,0,0,A,A,0,1,-0.12701640452702223,-0.8437895396875009,0,0,0,True,False,False,False,False,Summer,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,0,True,False,False,True,False
33,City Hotel,0,-0.5246002067725989,2016,February,8,18,0,3,2,0,0,0,0,0,D,D,0,9,-0.12701640452702223,-0.1565661920937469,0,0,0,True,False,False,False,False,Winter,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,0,False,False,False,True,False
34,City Hotel,0,1.5104739806679637,2015,September,38,14,1,2,1,0,0,0,0,0,A,A,0,9,-0.12701640452702223,-0.41597263357676467,0,0,0,True,False,False,False,False,Autumn,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,0,False,False,False,False,True
35,City Hotel,0,-0.6959748751886463,2016,September,40,27,0,1,2,0,0,0,0,0,A,D,0,9,-0.12701640452702223,0.8131521284239219,0,0,0,True,False,False,False,False,Autumn,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,1,False,False,False,True,False
36,City Hotel,0,0.6643115553637297,2016,July,27,1,1,2,2,2,0,0,0,0,F,F,0,9,-0.12701640452702223,1.962146104835614,0,1,0,True,False,False,False,False,Summer,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,0,False,False,False,True,False
37,City Hotel,0,-0.7602403758446641,2016,December,51,13,0,4,1,0,0,0,0,0,A,A,0,8,-0.12701640452702223,-0.43906116501766135,0,1,0,True,False,False,False,False,Winter,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,0,False,False,False,True,False
39,Resort Hotel,0,-0.9209041274847085,2016,September,38,13,0,2,2,0,0,0,0,0,A,A,0,240,-0.12701640452702223,-0.04248168379755048,0,0,1,True,False,False,False,False,Autumn,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,0,False,False,False,True,False
40,City Hotel,0,-0.21398362026851306,2016,March,13,20,2,3,2,0,0,0,0,0,D,D,1,9,-0.12701640452702223,0.3826189244966098,0,1,0,True,False,False,False,False,Spring,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,0,False,False,False,True,False
41,City Hotel,0,-0.5781547906526138,2017,April,16,21,1,2,2,0,0,0,0,0,D,D,0,9,-0.12701640452702223,1.6462406687678124,0,2,0,True,False,False,False,False,Spring,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,0,False,False,False,True,False
42,Resort Hotel,1,1.2212792277158837,2016,August,35,22,3,8,2,0,0,0,0,0,E,E,0,240,-0.12701640452702223,2.625737661425155,0,2,1,False,False,True,False,False,Summer,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,0,False,False,False,True,False
43,City Hotel,0,-0.9851696281407263,2016,June,27,26,2,0,1,0,0,0,0,0,A,A,0,9,-0.12701640452702223,0.46003341226902855,0,1,0,False,False,False,True,False,Summer,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,0,False,False,False,True,False
44,City Hotel,0,-0.6745530416366404,2016,May,23,29,2,1,2,0,0,0,0,0,A,A,0,42,-0.12701640452702223,-0.28694848728939976,0,0,0,True,False,False,False,False,Spring,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,0,False,False,False,True,False
45,City Hotel,0,-0.9530368778127174,2016,December,51,17,1,1,2,0,0,0,0,0,A,A,0,9,-0.12701640452702223,-0.4906708235326075,0,1,0,False,False,False,True,False,Winter,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,0,False,False,False,True,False
46,City Hotel,0,-0.8030840429486759,2015,December,51,17,0,2,1,0,0,0,0,0,A,A,0,0,-0.12701640452702223,-0.8437895396875009,0,0,0,True,False,False,False,False,Winter,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,0,False,False,False,False,True
48,Resort Hotel,0,-0.7281076255166552,2016,May,21,19,2,5,3,0,0,0,0,0,A,A,0,8,-0.12701640452702223,-0.43906116501766135,0,2,1,True,False,False,False,False,Spring,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,0,False,False,False,True,False
49,City Hotel,1,1.9067779013800732,2015,July,29,18,2,2,2,0,0,0,1,0,A,A,0,1,-0.12701640452702223,-0.9252784741847839,0,0,0,True,False,False,False,False,Summer,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,0,False,False,False,False,True
50,City Hotel,1,0.6321788050357208,2017,July,29,17,1,1,2,0,0,0,0,0,A,A,0,9,-0.12701640452702223,-0.1891617658926602,0,1,0,False,False,False,True,False,Summer,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,0,False,False,False,True,False
51,Resort Hotel,1,-0.513889289996596,2016,September,40,30,2,3,2,0,0,0,0,0,E,E,0,240,-0.12701640452702223,0.2970555432744624,0,0,1,True,False,False,False,False,Autumn,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,0,False,False,False,True,False
52,Resort Hotel,0,-0.7602403758446641,2016,January,3,14,0,2,2,2,0,0,0,0,G,G,0,240,-0.12701640452702223,-0.46350784536684647,0,1,1,True,False,False,False,False,Winter,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,0,False,False,False,True,False
53,Resort Hotel,0,0.6214678882597179,2016,July,29,11,1,2,2,0,0,0,0,0,A,B,0,327,-0.12701640452702223,-0.8492221353206532,0,0,1,True,False,False,False,False,Summer,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,1,False,False,False,True,False
54,City Hotel,1,-1.0173023784687352,2015,December,53,29,0,4,2,0,1,0,0,0,B,B,2,29,-0.12701640452702223,-0.04248168379755048,0,2,0,True,False,False,False,False,Winter,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,0,False,False,False,True,False
55,City Hotel,1,2.8707604112203398,2015,October,42,16,0,2,2,0,0,0,1,0,A,A,0,6,-0.12701640452702223,0.14765916336277674,0,0,0,False,False,True,False,False,Autumn,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,0,True,False,False,False,True
56,City Hotel,0,-0.8352167932766847,2016,December,51,11,1,0,2,0,0,0,0,0,A,A,0,378,-0.12701640452702223,-0.4363448672010854,0,0,0,True,False,False,False,False,Winter,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,0,False,False,False,False,True
57,City Hotel,1,-0.8030840429486759,2017,January,1,2,1,3,2,0,0,0,0,0,A,A,0,9,-0.12701640452702223,-0.16199878772689916,0,2,0,True,False,False,False,False,Winter,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,0,False,False,False,True,False
58,City Hotel,1,-0.8673495436046936,2017,February,7,17,0,2,2,0,0,0,0,0,A,A,0,19,-0.12701640452702223,-0.028900194714669966,0,0,0,True,False,False,False,False,Winter,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,0,True,False,False,True,False
59,City Hotel,0,-0.792373126172673,2017,March,11,16,2,5,2,0,0,0,0,0,A,A,0,85,-0.12701640452702223,-0.7623006051902178,0,1,0,True,False,False,False,False,Spring,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,0,False,False,False,True,False
60,Resort Hotel,1,-0.17113995316450123,2017,August,34,26,2,2,2,0,0,0,0,0,D,D,0,40,-0.12701640452702223,1.0576189319157712,0,1,1,True,False,False,False,False,Summer,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,0,False,False,False,False,False
61,City Hotel,1,-0.7602403758446641,2015,December,50,8,0,2,1,0,0,0,1,0,A,A,0,19,-0.12701640452702223,-0.1647150855434751,0,0,0,True,False,False,False,False,Winter,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,0,True,False,False,True,False
62,Resort Hotel,0,0.7285770560197474,2015,November,46,9,2,5,2,0,0,0,0,0,A,D,0,240,-0.12701640452702223,-0.9470088567173927,1,0,1,False,False,True,False,False,Autumn,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,1,False,False,False,True,False
63,City Hotel,0,-0.2889600377005338,2016,May,20,14,2,1,3,0,0,0,0,0,A,D,0,9,-0.12701640452702223,1.7176793013437646,0,1,0,True,False,False,False,False,Spring,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,1,False,False,False,True,False
64,Resort Hotel,0,-0.9958805449167292,2016,May,21,20,0,2,2,0,0,0,0,0,A,F,0,240,-0.12701640452702223,-0.19187806370923616,0,0,1,True,False,False,False,False,Spring,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,1,False,False,False,True,False
65,Resort Hotel,1,1.1784355606118717,2016,March,13,21,2,5,2,0,0,0,0,0,A,A,0,240,-0.12701640452702223,-1.4497955825656295,0,1,1,True,False,False,False,False,Spring,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,0,False,False,False,True,False
66,City Hotel,1,0.6536006385877268,2017,May,18,1,1,3,2,0,0,0,0,0,A,A,0,3,-0.12701640452702223,0.9218040410869661,0,0,0,True,False,False,False,False,Spring,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,0,True,False,False,True,False
67,City Hotel,0,-0.7066857919646492,2016,May,21,21,2,2,2,1,0,0,0,0,A,B,0,9,-0.12701640452702223,1.019047502920391,0,0,0,True,False,False,False,False,Spring,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,1,False,False,False,True,False
68,City Hotel,0,-1.0173023784687352,2017,May,19,9,0,1,1,0,0,0,0,0,A,A,0,10,-0.12701640452702223,-0.028900194714669966,0,0,0,False,False,False,True,False,Spring,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,0,False,False,False,True,False
69,Resort Hotel,0,-0.6852639584126433,2016,April,17,19,2,5,2,0,0,0,0,0,D,D,0,273,-0.12701640452702223,-1.5712140949665814,0,0,1,False,False,True,False,False,Spring,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,0,False,False,False,False,True
70,Resort Hotel,0,-0.46033470611658117,2016,June,24,7,0,2,2,0,0,0,0,0,A,A,0,240,-0.12701640452702223,0.894641062921205,0,1,1,True,False,False,False,False,Summer,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,0,False,False,False,True,False
71,Resort Hotel,1,1.6068722316519903,2015,September,36,5,2,5,2,0,0,0,1,0,A,A,0,96,-0.12701640452702223,-1.008125557590355,0,0,1,True,False,False,False,False,Autumn,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,0,False,False,False,False,True
72,City Hotel,1,2.228105404660162,2016,November,45,3,0,3,2,0,0,0,0,0,A,A,0,21,-0.12701640452702223,-0.19187806370923616,0,0,0,True,False,False,False,False,Autumn,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,0,True,False,False,True,False
73,City Hotel,0,0.3322731353076379,2017,July,30,25,0,3,2,0,0,0,0,0,D,D,0,16,-0.12701640452702223,0.055305037599189075,0,0,0,True,False,False,False,False,Summer,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,0,False,False,False,True,False
74,Resort Hotel,0,-1.028013295244738,2017,January,3,17,0,1,1,0,0,1,0,1,A,A,0,0,-0.12701640452702223,-0.04248168379755048,0,0,1,True,False,False,False,False,Winter,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,0,False,False,False,True,False
75,City Hotel,1,0.18232030044359648,2016,September,37,7,1,4,2,0,0,0,0,0,A,A,0,6,-0.12701640452702223,0.6175786856304425,0,0,0,True,False,False,False,False,Autumn,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,0,False,False,False,True,False
76,City Hotel,0,1.8853560678280674,2017,July,28,12,0,3,2,2,0,0,0,0,F,F,3,9,-0.12701640452702223,2.2555062690258327,0,2,0,True,False,False,False,False,Summer,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,0,False,False,False,False,True
77,City Hotel,1,-0.9101932107087055,2016,November,45,5,0,1,2,1,0,0,0,0,A,A,0,9,-0.12701640452702223,-0.04248168379755048,0,1,0,True,False,False,False,False,Autumn,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,0,False,False,False,True,False
78,City Hotel,1,0.021656548803552066,2015,November,48,23,1,2,1,0,0,0,0,0,A,A,0,37,-0.12701640452702223,-0.7079746488586958,0,0,0,True,False,False,False,False,Autumn,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,0,False,False,False,False,True
79,City Hotel,1,2.0995744033481265,2015,August,32,5,0,2,2,0,0,0,1,0,A,A,0,1,-0.12701640452702223,-0.9252784741847839,0,0,0,True,False,False,False,False,Summer,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,0,True,False,False,False,True
80,City Hotel,0,-0.8566386268286907,2016,December,50,4,2,0,2,1,0,0,0,0,A,A,0,9,-0.12701640452702223,0.6175786856304425,0,1,0,True,False,False,False,False,Winter,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,0,False,False,False,True,False
81,City Hotel,0,-0.27824912092453086,2016,April,17,22,2,2,2,0,0,0,0,0,A,A,0,9,-0.12701640452702223,0.03438954441155319,0,0,0,True,False,False,False,False,Spring,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,0,False,False,False,True,False
82,Resort Hotel,1,-0.503178373220593,2015,July,30,20,3,6,2,0,0,0,0,0,D,D,0,15,-0.12701640452702223,0.4111400515706588,0,0,1,False,True,False,False,False,Summer,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,0,False,False,False,True,False
84,Resort Hotel,1,2.0674416530201176,2017,July,30,25,0,4,2,1,0,0,0,0,E,E,0,240,-0.12701640452702223,2.0843795065815387,0,0,1,True,False,False,False,False,Summer,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,0,False,False,False,True,False
85,Resort Hotel,1,0.12876571656358168,2016,April,18,29,2,2,2,0,0,0,0,0,A,A,0,0,-0.12701640452702223,-0.3276929545380413,0,0,1,False,False,True,False,False,Spring,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,0,True,False,False,True,False
